dxcc_number,prefix,continent,itu_zone,cq_zone,entity_name
391,    A6, AS,39,21, United Arab Emirates
400,    7T-7Y*, AF,37,33, Algeria
401,"    D2,D3", AF,52,36, Angola
402,    A2*, AF,57,38, Botswana
404,    9U(9), AF,52,36, Burundi
406,    TJ, AF,47,36, Cameroon
408,    TL(30), AF,47,36, Central Africa
409,    D4, AF,46,35, Cape Verde
410,    TT(33), AF,47,36, Chad
411,    D6#*(13), AF,53,39, Comoros
412,    TN(31), AF,52,36, Republic of the Congo
414,    9Q-9T*, AF,52,36, Democratic Republic of the Congo
416,    TY(35), AF,46,35, Benin
420,    TR(32)*, AF,52,36, Gabon
422,    C5#, AF,46,35, The Gambia
424,    9G(7)#*, AF,46,35, Ghana
428,    TU(34), AF,46,35, Cote d'Ivoire
430,"    5Y,5Z*", AF,48,37, Kenya
432,    7P, AF,57,38, Lesotho
434,    EL#*, AF,46,35, Liberia
436,    5A, AF,38,34, Libya
438,    5R, AF,53,39, Madagascar
440,    7Q, AF,53,37, Malawi
442,    TZ(36)*, AF,46,35, Mali
444,    5T(2), AF,46,35, Mauritania
446,    CN, AF,37,33, Morocco
450,    5N*, AF,46,35, Nigeria
452,    Z2, AF,53,38, Zimbabwe
453,"    FR,TO*", AF,53,39, Reunion I.
454,    9X(9), AF,52,36, Rwanda
456,"    6V,6W(4)*", AF,46,35, Senegal
458,    9L#, AF,46,35, Sierra Leone
460,    3D2*, OC,56,32, Rotuma I.
462,    ZR-ZU#*, AF,57,38, South Africa
464,    V5*, AF,57,38, Namibia
466,    ST, AF,"47,48",34, Sudan
468,    3DA#, AF,57,38, Swaziland
470,"    5H,5I*", AF,53,37, Tanzania
474,    3V*, AF,37,33, Tunisia
478,    SU, AF,38,34, Egypt
480,    XT(39)*, AF,46,35, Burkina Faso
482,"    9I,9J*", AF,53,36, Zambia
483,    5V, AF,46,35, Togo
489,    3D2*, OC,56,32, Conway Reef
490,    T33, OC,65,31, Banaba I. (Ocean I.)
492,    7O(5), AS,39,21, Yemen
497,    9A(6)*, EU,28,15, Croatia
499,    S5(6)*, EU,28,15, Slovenia
501,    E7(29)#*, EU,28,15, Bosnia-Herzegovina
502,    Z3(41)*, EU,28,15, Macedonia
503,    OK-OL(23)*, EU,28,15, Czech Republic
504,    OM(23)*, EU,28,15, Slovak Republic
505,    BV9P(12), AS,44,24, Pratas I.
506,    BS7(11), AS,50,27, Scarborough Reef
507,    H40(18)*, OC,51,32, Temotu Province
508,"    FO,TO(16)*", OC,63,32, Austral I.
509,"    FO,TX(16)*", OC,63,31, Marquesas Is.
510,    E4(43), AS,39,20, Palestine
511,    4W(44), OC,54,28, Timor-Leste
512,"    FK,TX(45)", OC,56,30, Chesterfield Is.
513,    VP6(46)*, OC,63,32, Ducie I.
514,    4O(47)*, EU,28,15, Montenegro
515,    KH8(48)#*, OC,62,32, Swains I.
516,"    FJ,TO(49)*", NA,11,8, Saint Barthelemy
517,    PJ2(50), SA,11,9, Curacao
518,    PJ7(53), NA,11,8, St Maarten
519,"    PJ5,6(52)", NA,11,8, Saba & St. Eustatius
520,    PJ4(51), SA,11,9, Bonaire
521,    Z8(54), AF,48,34, South Sudan (Republic of)
522,    Z6(55), EU,28,15, Republic of Kosovo
